,Train Loss,Validation Loss
123,0.06429563,0.079560876
124,0.093071446,0.074760064
125,0.06772932,0.065117344
126,0.077556215,0.07256239
127,0.070612215,0.06309561
128,0.10435097,0.063865565
129,0.10205513,0.063715905
130,0.073841594,0.07649137
131,0.07036086,0.06588796
132,0.06827513,0.07387111
133,0.09419398,0.083830655
134,0.114070125,0.06353809
135,0.063541256,0.06378628
136,0.38078362,0.07737276
137,0.06997697,0.067429416
138,0.06966624,0.06674286
139,0.064584546,0.07159169
140,0.114114694,0.086265236
141,0.08223526,0.07063831
142,0.11004076,0.08713575
143,0.11299193,0.063711464
144,0.3355299,0.06453513
145,0.108992435,0.06861267
146,0.07908907,0.07392301
147,0.07617389,0.06661901
148,0.082080536,0.065303944
149,0.08853616,0.07311645
150,0.06901111,0.08139287
151,0.077875175,0.077509455
152,0.07381395,0.078128554
153,0.065217085,0.06466876
154,0.08712756,0.06427309
155,0.14654471,0.06815442
156,0.07235523,0.062861495
157,0.10661813,0.064669915
158,0.09710526,0.07019707
159,0.07191904,0.06424132
160,0.08345391,0.06708365
161,0.06577213,0.06455539
162,0.06334372,0.06250659
163,0.10627036,0.067445815
164,0.08997445,0.06392443
165,0.08145367,0.06259773
166,0.30474985,0.06765818
167,0.097853765,0.067897744
168,0.085947596,0.060624734
169,0.06133487,0.080214396
170,0.085486084,0.06643853
171,0.1152474,0.06762871
172,0.09151942,0.073642164
173,0.06215096,0.066907614
174,0.12183245,0.08650644
175,0.17244956,0.06847268
176,0.086481094,0.06437484
177,0.08092492,0.062764354
178,0.0739335,0.073301844
179,0.1951641,0.07343293
180,0.1054337,0.09023914
181,0.07997134,0.068357944
182,0.097037636,0.0644207
183,0.078306064,0.0654391
184,0.07694936,0.06978868
185,0.07116445,0.061953213
186,0.06542361,0.06443675
187,0.12635371,0.06398249
188,0.076933995,0.06510134
189,0.08270885,0.061405387
190,0.24533553,0.07177327
191,0.08784639,0.060114283
192,0.08124313,0.060653802
193,0.08275608,0.064998366
194,0.0751365,0.08716761
195,0.0775342,0.06254752
196,0.10694013,0.06388764
197,0.11254052,0.06590846
198,0.104238965,0.06502564
199,0.09149282,0.06996196
200,0.07064388,0.062005416
201,0.14865732,0.07162628
202,0.08701122,0.067250535
203,0.08915515,0.06167384
204,0.0740993,0.068396516
205,0.062886454,0.065939
206,0.06071239,0.061347395
207,0.08861819,0.06808491
208,0.106457986,0.06614176
209,0.06584499,0.0652112
210,0.0659038,0.060801264
211,0.12057509,0.070790805
212,0.06939727,0.076888725
213,0.079966545,0.06629815
214,0.07028589,0.06745064
215,0.06894476,0.061818823
216,0.1609473,0.06767152
217,0.08451165,0.058580372
218,0.16031376,0.0662276
219,0.08236269,0.06299845
220,0.09094537,0.068024546
221,0.060157068,0.067432605
222,0.07576529,0.07008421
223,0.06779503,0.06820955
224,0.06081346,0.07457699
225,0.11928947,0.06292642
226,0.368206,0.065434724
227,0.14847697,0.0727468
228,0.07317438,0.073584914
229,0.076638564,0.0674232
230,0.08727122,0.06586337
231,0.11635196,0.070369616
232,0.14268449,0.08065788
233,0.10193285,0.08317628
234,0.33636543,0.062800586
235,0.083836585,0.062601544
236,0.06531194,0.06523413
237,0.09415933,0.08310023
238,0.10237336,0.06832099
239,0.08266863,0.06433344
240,0.07610243,0.06474989
241,0.07790974,0.06141258
242,0.06177436,0.06839321
243,0.11855369,0.0629838
244,0.1373337,0.059404455
245,0.060247403,0.067111276
246,0.1347084,0.083550505
247,0.0837069,0.07488024
248,0.06907351,0.060119055
249,0.10462426,0.090847634
250,0.0642958,0.06455169
251,0.08405999,0.06783139
252,0.10260468,0.06164643
253,0.064643644,0.06265394
254,0.09940663,0.065320805
255,0.07122295,0.078830965
256,0.06550155,0.062249217
257,0.07330971,0.06642948
258,0.08815324,0.06984464
259,0.0712003,0.06309364
260,0.35817447,0.06147092
261,0.083361425,0.06583281
262,0.05830731,0.06392892
263,0.08758403,0.067673154
264,0.1757154,0.06914847
265,0.13315237,0.08106449
266,0.112819366,0.065147795
267,0.30064988,0.07292058
268,0.29447183,0.06977355
269,0.08891412,0.062679306
270,0.071468346,0.060128413
271,0.13254236,0.06620864
272,0.12179739,0.06768444
273,0.10201964,0.06389509
274,0.07009772,0.061271615
275,0.06286082,0.07080671
276,0.07817062,0.0787079
